bin/naive	naive	1536	1	1799.947767
bin/naive	naive	1536	48	48.620111
bin/naive	naive	1536	64	28.458346
bin/naive	naive	1536	32	62.619732
bin/naive	naive	1536	12	151.862177
bin/naive	naive	1536	24	79.576432
bin/naive	naive	1536	16	115.389128
bin/naive	naive	1536	2	908.760004
bin/naive	naive	1536	3	606.065758
bin/naive	naive	1536	1	1794.484772
bin/naive	naive	1536	4	453.888393
bin/naive	naive	1536	6	301.064308
bin/naive	naive	1536	8	225.471134
bin/naive	naive	1536	128	14.524205
bin/naive	naive	1536	256	7.703975
bin/naive	naive	1536	192	10.232190
