bin/naive	naive	1000	1	497.814366
bin/naive	naive	1000	50	10.087104
bin/naive	naive	1000	40	12.584191
bin/naive	naive	1000	10	50.449022
bin/naive	naive	1000	20	27.237993
bin/naive	naive	1000	25	22.333015
bin/naive	naive	1000	1	497.751807
bin/naive	naive	1000	2	248.892900
bin/naive	naive	1000	4	124.555171
bin/naive	naive	1000	5	100.179697
bin/naive	naive	1000	8	63.045487
bin/naive	naive	1000	250	3.045045
bin/naive	naive	1000	125	4.205394
bin/naive	naive	1000	200	3.326249
bin/naive	naive	1000	100	5.196754
bin/naive	naive	1000	80	7.107726
